VOID                 (line 0, col 0) to (line 0, col 4)
ID                   (line 0, col 5) to (line 0, col 13) Value: printNum
LPAREN               (line 0, col 13) to (line 0, col 14)
INT                  (line 0, col 14) to (line 0, col 17) Value: int
ID                   (line 0, col 18) to (line 0, col 19) Value: n
RPAREN               (line 0, col 19) to (line 0, col 20)
SEMI                 (line 0, col 20) to (line 0, col 21)
VOID                 (line 1, col 0) to (line 1, col 4)
ID                   (line 1, col 5) to (line 1, col 16) Value: printMatrix
LPAREN               (line 1, col 16) to (line 1, col 17)
INT                  (line 1, col 17) to (line 1, col 20) Value: int
ID                   (line 1, col 21) to (line 1, col 24) Value: max
RPAREN               (line 1, col 24) to (line 1, col 25)
SEMI                 (line 1, col 25) to (line 1, col 26)
INT                  (line 2, col 0) to (line 2, col 3) Value: int
ID                   (line 2, col 4) to (line 2, col 11) Value: readNum
LPAREN               (line 2, col 11) to (line 2, col 12)
RPAREN               (line 2, col 12) to (line 2, col 13)
SEMI                 (line 2, col 13) to (line 2, col 14)
INT                  (line 4, col 0) to (line 4, col 3) Value: int
ID                   (line 4, col 4) to (line 4, col 8) Value: glob
SEMI                 (line 4, col 8) to (line 4, col 9)
INT                  (line 6, col 0) to (line 6, col 3) Value: int
ID                   (line 6, col 4) to (line 6, col 8) Value: main
LPAREN               (line 6, col 8) to (line 6, col 9)
RPAREN               (line 6, col 9) to (line 6, col 10)
LKEY                 (line 6, col 11) to (line 6, col 12)
INT                  (line 7, col 4) to (line 7, col 7) Value: int
ID                   (line 7, col 8) to (line 7, col 9) Value: a
ASS                  (line 7, col 10) to (line 7, col 11)
ID                   (line 7, col 12) to (line 7, col 19) Value: readNum
LPAREN               (line 7, col 19) to (line 7, col 20)
RPAREN               (line 7, col 20) to (line 7, col 21)
SEMI                 (line 7, col 21) to (line 7, col 22)
ID                   (line 9, col 4) to (line 9, col 15) Value: printMatrix
LPAREN               (line 9, col 15) to (line 9, col 16)
ID                   (line 9, col 16) to (line 9, col 17) Value: a
RPAREN               (line 9, col 17) to (line 9, col 18)
SEMI                 (line 9, col 18) to (line 9, col 19)
PUTCHAR              (line 11, col 4) to (line 11, col 11)
LPAREN               (line 11, col 11) to (line 11, col 12)
CHARLIT              (line 11, col 12) to (line 11, col 16) Value: 10
RPAREN               (line 11, col 16) to (line 11, col 17)
SEMI                 (line 11, col 17) to (line 11, col 18)
RKEY                 (line 12, col 0) to (line 12, col 1)
VOID                 (line 16, col 0) to (line 16, col 4)
ID                   (line 16, col 5) to (line 16, col 16) Value: printMatrix
LPAREN               (line 16, col 16) to (line 16, col 17)
INT                  (line 16, col 17) to (line 16, col 20) Value: int
ID                   (line 16, col 21) to (line 16, col 24) Value: max
RPAREN               (line 16, col 24) to (line 16, col 25)
LKEY                 (line 16, col 26) to (line 16, col 27)
LBRAC                (line 17, col 4) to (line 17, col 5)
INTLIT               (line 17, col 5) to (line 17, col 7) Value: 20
RBRAC                (line 17, col 7) to (line 17, col 8)
LBRAC                (line 17, col 8) to (line 17, col 9)
INTLIT               (line 17, col 9) to (line 17, col 11) Value: 20
RBRAC                (line 17, col 11) to (line 17, col 12)
INT                  (line 17, col 12) to (line 17, col 15) Value: int
ID                   (line 17, col 16) to (line 17, col 22) Value: matrix
SEMI                 (line 17, col 22) to (line 17, col 23)
FOR                  (line 19, col 4) to (line 19, col 7)
LPAREN               (line 19, col 8) to (line 19, col 9)
INT                  (line 19, col 9) to (line 19, col 12) Value: int
ID                   (line 19, col 13) to (line 19, col 14) Value: i
ASS                  (line 19, col 15) to (line 19, col 16)
INTLIT               (line 19, col 17) to (line 19, col 18) Value: 0
SEMI                 (line 19, col 18) to (line 19, col 19)
ID                   (line 19, col 20) to (line 19, col 21) Value: i
LT                   (line 19, col 22) to (line 19, col 23)
ID                   (line 19, col 24) to (line 19, col 27) Value: max
SEMI                 (line 19, col 27) to (line 19, col 28)
ID                   (line 19, col 29) to (line 19, col 30) Value: i
ASS                  (line 19, col 31) to (line 19, col 32)
ID                   (line 19, col 33) to (line 19, col 34) Value: i
PLUS                 (line 19, col 34) to (line 19, col 35)
INTLIT               (line 19, col 35) to (line 19, col 36) Value: 1
RPAREN               (line 19, col 36) to (line 19, col 37)
